sample,label
132407_220725_05_B2,HPIV3 1e3
132407_220725_05_B3,FluA 1e4
132407_220725_05_B4,FluA 1e3
132407_220725_05_B5,FluB 1e4
132407_220725_05_B6,FluB 1e3
132407_220725_05_B7,HMPV 1e4
132407_220725_05_B8,HMPV 1e3
132407_220725_05_C1,HRSV 1e4
132407_220725_05_C2,HRSV 1e3
132407_220725_05_C3,Water AMP
132407_220725_05_C4,Water DET
132407_220725_05_C5,SarsCoV2 1e4 no Mg
132407_220725_05_C6,
132407_220725_05_C7,
132407_220725_05_C8,
132407_220725_05_D1,
132407_220725_05_D2,
132407_220725_05_D3,
132407_220725_05_D4,
132407_220725_05_D5,
132407_220725_05_D6,
132407_220725_05_D7,
132407_220725_05_D8,
132407_220725_05_E1,
132407_220725_05_E2,
132407_220725_05_E3,
132407_220725_05_E4,
132407_220725_05_E5,
132407_220725_05_E6,
132407_220725_05_E7,
132407_220725_05_E8,
132407_220725_05_F1,
132407_220725_05_F2,
132407_220725_05_F3,
132407_220725_05_F4,
132407_220725_05_F5,
132407_220725_05_F6,
132407_220725_05_F7,
132407_220725_05_F8,
132407_220725_06_A1,SarsCoV2 1e4
132407_220725_06_A2,SarsCoV2 1e3
132407_220725_06_A3,HKU1 1e4
132407_220725_06_A4,HKU1 1e3
132407_220725_06_A5,NL63 1e4
132407_220725_06_A6,NL63 1e3
132407_220725_06_A7,BetaCoV 1e4
132407_220725_06_A8,BetaCoV 1e3
132407_220725_06_B1,HPIV3 1e4
132407_220725_06_B2,HPIV3 1e3
132407_220725_06_B3,FluA 1e4
132407_220725_06_B4,FluA 1e3
132407_220725_06_B5,FluB 1e4
132407_220725_06_B6,FluB 1e3
132407_220725_06_B7,HMPV 1e4
132407_220725_06_B8,HMPV 1e3
132407_220725_06_C1,HRSV 1e4
132407_220725_06_C2,HRSV 1e3
132407_220725_06_C3,Water AMP
132407_220725_06_C4,Water DET
132407_220725_06_C5,SarsCoV2 1e4 no Mg
132407_220725_06_C6,
132407_220725_06_C7,
132407_220725_06_C8,
132407_220725_06_D1,
132407_220725_06_D2,
132407_220725_06_D3,
132407_220725_06_D4,
132407_220725_06_D5,
132407_220725_06_D6,
132407_220725_06_D7,
132407_220725_06_D8,
132407_220725_06_E1,
132407_220725_06_E2,
132407_220725_06_E3,
132407_220725_06_E4,
132407_220725_06_E5,
132407_220725_06_E6,
132407_220725_06_E7,
132407_220725_06_E8,
132407_220725_06_F1,
132407_220725_06_F2,
132407_220725_06_F3,
132407_220725_06_F4,
132407_220725_06_F5,
132407_220725_06_F6,
132407_220725_06_F7,
132407_220725_06_F8,
132407_220725_07_A1,SarsCoV2 1e4
132407_220725_07_A2,SarsCoV2 1e3
132407_220725_07_A3,HKU1 1e4
132407_220725_07_A4,HKU1 1e3
132407_220725_07_A5,NL63 1e4
132407_220725_07_A6,NL63 1e3
132407_220725_07_A7,BetaCoV 1e4
132407_220725_07_A8,BetaCoV 1e3
132407_220725_07_B1,HPIV3 1e4
132407_220725_07_B2,HPIV3 1e3
132407_220725_07_B3,FluA 1e4
132407_220725_07_B4,FluA 1e3
132407_220725_07_B5,FluB 1e4
132407_220725_07_B6,FluB 1e3
132407_220725_07_B7,HMPV 1e4
132407_220725_07_B8,HMPV 1e3
132407_220725_07_C1,HRSV 1e4
132407_220725_07_C2,HRSV 1e3
132407_220725_07_C3,Water AMP
132407_220725_07_C4,Water DET
132407_220725_07_C5,SarsCoV2 1e4 no Mg
132407_220725_07_C6,
132407_220725_07_C7,
132407_220725_07_C8,
132407_220725_07_D1,
132407_220725_07_D2,
132407_220725_07_D3,
132407_220725_07_D4,
132407_220725_07_D5,
132407_220725_07_D6,
132407_220725_07_D7,
132407_220725_07_D8,
132407_220725_07_E1,
132407_220725_07_E2,
132407_220725_07_E3,
132407_220725_07_E4,
132407_220725_07_E5,
132407_220725_07_E6,
132407_220725_07_E7,
132407_220725_07_E8,
132407_220725_07_F1,
132407_220725_07_F2,
132407_220725_07_F3,
132407_220725_07_F4,
132407_220725_07_F5,
132407_220725_07_F6,
132407_220725_07_F7,
132407_220725_07_F8,
132407_220725_08_A1,SarsCoV2 1e4
132407_220725_08_A2,SarsCoV2 1e3
132407_220725_08_A3,HKU1 1e4
132407_220725_08_A4,HKU1 1e3
132407_220725_08_A5,NL63 1e4
132407_220725_08_A6,NL63 1e3
132407_220725_08_A7,BetaCoV 1e4
132407_220725_08_A8,BetaCoV 1e3
132407_220725_08_B1,HPIV3 1e4
132407_220725_08_B2,HPIV3 1e3
132407_220725_08_B3,FluA 1e4
132407_220725_08_B4,FluA 1e3
132407_220725_08_B5,FluB 1e4
132407_220725_08_B6,FluB 1e3
132407_220725_08_B7,HMPV 1e4
132407_220725_08_B8,HMPV 1e3
132407_220725_08_C1,HRSV 1e4
132407_220725_08_C2,HRSV 1e3
132407_220725_08_C3,Water AMP
132407_220725_08_C4,Water DET
132407_220725_08_C5,SarsCoV2 1e4 no Mg
132407_220725_08_C6,
132407_220725_08_C7,
132407_220725_08_C8,
132407_220725_08_D1,
132407_220725_08_D2,
132407_220725_08_D3,
132407_220725_08_D4,
132407_220725_08_D5,
132407_220725_08_D6,
132407_220725_08_D7,
132407_220725_08_D8,
132407_220725_08_E1,
132407_220725_08_E2,
132407_220725_08_E3,
132407_220725_08_E4,
132407_220725_08_E5,
132407_220725_08_E6,
132407_220725_08_E7,
132407_220725_08_E8,
132407_220725_08_F1,
132407_220725_08_F2,
132407_220725_08_F3,
132407_220725_08_F4,
132407_220725_08_F5,
132407_220725_08_F6,
132407_220725_08_F7,
132407_220725_08_F8,
132407_220725_09_A1,SarsCoV2 1e4
132407_220725_09_A2,SarsCoV2 1e3
132407_220725_09_A3,HKU1 1e4
132407_220725_09_A4,HKU1 1e3
132407_220725_09_A5,NL63 1e4
132407_220725_09_A6,NL63 1e3
132407_220725_09_A7,BetaCoV 1e4
132407_220725_09_A8,BetaCoV 1e3
132407_220725_09_B1,HPIV3 1e4
132407_220725_09_B2,HPIV3 1e3
132407_220725_09_B3,FluA 1e4
132407_220725_09_B4,FluA 1e3
132407_220725_09_B5,FluB 1e4
132407_220725_09_B6,FluB 1e3
132407_220725_09_B7,HMPV 1e4
132407_220725_09_B8,HMPV 1e3
132407_220725_09_C1,HRSV 1e4
132407_220725_09_C2,HRSV 1e3
132407_220725_09_C3,Water AMP
132407_220725_09_C4,Water DET
132407_220725_09_C5,SarsCoV2 1e4 no Mg
132407_220725_09_C6,
132407_220725_09_C7,
132407_220725_09_C8,
132407_220725_09_D1,
132407_220725_09_D2,
132407_220725_09_D3,
132407_220725_09_D4,
132407_220725_09_D5,
132407_220725_09_D6,
132407_220725_09_D7,
132407_220725_09_D8,
132407_220725_09_E1,
132407_220725_09_E2,
132407_220725_09_E3,
132407_220725_09_E4,
132407_220725_09_E5,
132407_220725_09_E6,
132407_220725_09_E7,
132407_220725_09_E8,
132407_220725_09_F1,
132407_220725_09_F2,
132407_220725_09_F3,
132407_220725_09_F4,
132407_220725_09_F5,
132407_220725_09_F6,
132407_220725_09_F7,
132407_220725_09_F8,
132407_220725_10_A1,SarsCoV2 1e4
132407_220725_10_A2,SarsCoV2 1e3
132407_220725_10_A3,HKU1 1e4
132407_220725_10_A4,HKU1 1e3
132407_220725_10_A5,NL63 1e4
132407_220725_10_A6,NL63 1e3
132407_220725_10_A7,BetaCoV 1e4
132407_220725_10_A8,BetaCoV 1e3
132407_220725_10_B1,HPIV3 1e4
132407_220725_10_B2,HPIV3 1e3
132407_220725_10_B3,FluA 1e4
132407_220725_10_B4,FluA 1e3
132407_220725_10_B5,FluB 1e4
132407_220725_10_B6,FluB 1e3
132407_220725_10_B7,HMPV 1e4
132407_220725_10_B8,HMPV 1e3
132407_220725_10_C1,HRSV 1e4
132407_220725_10_C2,HRSV 1e3
132407_220725_10_C3,Water AMP
132407_220725_10_C4,Water DET
132407_220725_10_C5,SarsCoV2 1e4 no Mg
132407_220725_10_C6,
132407_220725_10_C7,
132407_220725_10_C8,
132407_220725_10_D1,
132407_220725_10_D2,
132407_220725_10_D3,
132407_220725_10_D4,
132407_220725_10_D5,
132407_220725_10_D6,
132407_220725_10_D7,
132407_220725_10_D8,
132407_220725_10_E1,
132407_220725_10_E2,
132407_220725_10_E3,
132407_220725_10_E4,
132407_220725_10_E5,
132407_220725_10_E6,
132407_220725_10_E7,
132407_220725_10_E8,
132407_220725_10_F1,
132407_220725_10_F2,
132407_220725_10_F3,
132407_220725_10_F4,
132407_220725_10_F5,
132407_220725_10_F6,
132407_220725_10_F7,
132407_220725_10_F8,
132407_220725_11_A1,SarsCoV2 1e4
132407_220725_11_A2,SarsCoV2 1e3
132407_220725_11_A3,HKU1 1e4
132407_220725_11_A4,HKU1 1e3
132407_220725_11_A5,NL63 1e4
132407_220725_11_A6,NL63 1e3
132407_220725_11_A7,BetaCoV 1e4
132407_220725_11_A8,BetaCoV 1e3
132407_220725_11_B1,HPIV3 1e4
132407_220725_11_B2,HPIV3 1e3
132407_220725_11_B3,FluA 1e4
132407_220725_11_B4,FluA 1e3
132407_220725_11_B5,FluB 1e4
132407_220725_11_B6,FluB 1e3
132407_220725_11_B7,HMPV 1e4
132407_220725_11_B8,HMPV 1e3
132407_220725_11_C1,HRSV 1e4
132407_220725_11_C2,HRSV 1e3
132407_220725_11_C3,Water AMP
132407_220725_11_C4,Water DET
132407_220725_11_C5,SarsCoV2 1e4 no Mg
132407_220725_11_C6,
132407_220725_11_C7,
132407_220725_11_C8,
132407_220725_11_D1,
132407_220725_11_D2,
132407_220725_11_D3,
132407_220725_11_D4,
132407_220725_11_D5,
132407_220725_11_D6,
132407_220725_11_D7,
132407_220725_11_D8,
132407_220725_11_E1,
132407_220725_11_E2,
132407_220725_11_E3,
132407_220725_11_E4,
132407_220725_11_E5,
132407_220725_11_E6,
132407_220725_11_E7,
132407_220725_11_E8,
132407_220725_11_F1,
132407_220725_11_F2,
132407_220725_11_F3,
132407_220725_11_F4,
132407_220725_11_F5,
132407_220725_11_F6,
132407_220725_11_F7,
132407_220725_11_F8,
132407_220725_12_A1,SarsCoV2 1e4
132407_220725_12_A2,SarsCoV2 1e3
132407_220725_12_A3,HKU1 1e4
132407_220725_12_A4,HKU1 1e3
132407_220725_12_A5,NL63 1e4
132407_220725_12_A6,NL63 1e3
132407_220725_12_A7,BetaCoV 1e4
132407_220725_12_A8,BetaCoV 1e3
132407_220725_12_B1,HPIV3 1e4
132407_220725_12_B2,HPIV3 1e3
132407_220725_12_B3,FluA 1e4
132407_220725_12_B4,FluA 1e3
132407_220725_12_B5,FluB 1e4
132407_220725_12_B6,FluB 1e3
132407_220725_12_B7,HMPV 1e4
132407_220725_12_B8,HMPV 1e3
132407_220725_12_C1,HRSV 1e4
132407_220725_12_C2,HRSV 1e3
132407_220725_12_C3,Water AMP
132407_220725_12_C4,Water DET
132407_220725_12_C5,SarsCoV2 1e4 no Mg
132407_220725_12_C6,
132407_220725_12_C7,
132407_220725_12_C8,
132407_220725_12_D1,
132407_220725_12_D2,
132407_220725_12_D3,
132407_220725_12_D4,
132407_220725_12_D5,
132407_220725_12_D6,
132407_220725_12_D7,
132407_220725_12_D8,
132407_220725_12_E1,
132407_220725_12_E2,
132407_220725_12_E3,
132407_220725_12_E4,
132407_220725_12_E5,
132407_220725_12_E6,
132407_220725_12_E7,
132407_220725_12_E8,
132407_220725_12_F1,
132407_220725_12_F2,
132407_220725_12_F3,
132407_220725_12_F4,
132407_220725_12_F5,
132407_220725_12_F6,
132407_220725_12_F7,
132407_220725_12_F8,
132407_220725_13_A1,SarsCoV2 1e4
132407_220725_13_A2,SarsCoV2 1e3
132407_220725_13_A3,HKU1 1e4
132407_220725_13_A4,HKU1 1e3
132407_220725_13_A5,NL63 1e4
132407_220725_13_A6,NL63 1e3
132407_220725_13_A7,BetaCoV 1e4
132407_220725_13_A8,BetaCoV 1e3
132407_220725_13_B1,HPIV3 1e4
132407_220725_13_B2,HPIV3 1e3
132407_220725_13_B3,FluA 1e4
132407_220725_13_B4,FluA 1e3
132407_220725_13_B5,FluB 1e4
132407_220725_13_B6,FluB 1e3
132407_220725_13_B7,HMPV 1e4
132407_220725_13_B8,HMPV 1e3
132407_220725_13_C1,HRSV 1e4
132407_220725_13_C2,HRSV 1e3
132407_220725_13_C3,Water AMP
132407_220725_13_C4,Water DET
132407_220725_13_C5,SarsCoV2 1e4 no Mg
132407_220725_13_C6,
132407_220725_13_C7,
132407_220725_13_C8,
132407_220725_13_D1,
132407_220725_13_D2,
132407_220725_13_D3,
132407_220725_13_D4,
132407_220725_13_D5,
132407_220725_13_D6,
132407_220725_13_D7,
132407_220725_13_D8,
132407_220725_13_E1,
132407_220725_13_E2,
132407_220725_13_E3,
132407_220725_13_E4,
132407_220725_13_E5,
132407_220725_13_E6,
132407_220725_13_E7,
132407_220725_13_E8,
132407_220725_13_F1,
132407_220725_13_F2,
132407_220725_13_F3,
132407_220725_13_F4,
132407_220725_13_F5,
132407_220725_13_F6,
132407_220725_13_F7,
132407_220725_13_F8,
